Id,Name,longitude,lattitude,date,cal,time,zone,dst
107, Leonardo da Vinci, 10:55:0:E, 43:47:0:N, 1452/4/15, J, 21:40,0.7277778 ,0
108, Albrecht Dürer, 11:04:0:E, 49:27:0:N, 1471/5/21, J, 0.7377778 , 0
109, Michelangelo Buonarotti, 11:59:0:E, 43:39:0:N, 1475/3/6, J, 1:45, 0.7988888, 0
110, Raphaël, 12:38:0:E, 43:43:0:N, 1483/3/27, J, 21:30, 0.8422222, 0
111, Joshua Reynolds, 4:3:0:W, 50:23:0:N, 1723/7/27, G, 9:30, -0.27, 0
112, Wiliam Turner, 0:10:0:W, 51:30:0:N, 1775/4/23, G, 1:15, -0.0111111, 0
113, Honoré Daumier, 5:24:0:E, 43:18:0:E, 1808/2/26, G, 15:00, 0.36, 0
114, Jean-François Millet, 1:47:0:W, 49:41:0:N, 1814/10/4, G, 20:00, 0.1188888, 0
115, Johannes Bosboom, 4:18:0:E, 52:06:0:N, 1817/2/18, G, 16:30, 0.28666667, 0
116, Gustave Courbet, 6:09:0:E, 47:06:0:N, 1819/6/10, G, 3:00, 0.41, 0
117, Gustave Doré, 7:45:0:E, 48:35:0:N, 1832/1/6, G, 6:00, 0.5166667, 0
118, Edouard Manet, 2:20:0:E, 48:52:0:N, 1832/1/23, G, 19:00, 0.1555556, 0
119, Edgar Degas, 2:20:0:E, 48:52:0:N, 1834/7/19, G, 20:30, 0.1555556, 0
120, Paul Cézanne, 5:26:0:E, 43:32:0:N, 1839/1/19, G, 1:00, 0.3622222, 0
121, Auguste Rodin, 2:20:0:E, 48:52:0:N, 1840/11/12, G, 12:00, 0.1555556, 0
122, Berthe Morisot, 2:24:0:E, 47:05:0:N, 1841/1/14, G, 15:00, 0.16, 0
123, Pierre-Auguste Renoir, 1:16:0:E, 45:50:0:N, 1841/2/25, G, 6:00, 0.0844444, 0
124, Henri Rousseau, 0:46:0:W, 48:04:0:N, 1844/5/21, G, 1:00, -0.0511111, 0
125, Max Liebermann, 13:21:0:E, 52:29:0:N, 1847/7/20, G, 8:00, 0.89, 0
126, Paul Gauguin, 2:20:0:E, 48:52:0:N, 1848/6/7, G, 10:00, 0.1555556, 0
127, Vincent van Gogh, 4:40:0:E, 51:28:0:N, 1853/3/30, G, 11:00, 0.3111111, 0
128, Jan Toorop, 110:01:0:E, 7:43:0:S, 1858/12/20, G, 3:00, 7.334444, 0
129, Georges Pierre Seurat, 2:20:0:E, 48:52:0:N, 1859/12/2, G, 1:00, 0.1555556, 0
130, Henri de Toulouse-Lautrec, 2:09:0:E, 43:56:0:N, 1864/11/24, G, 6:00, 0.1433333, 0
131, Henri Matisse, 3:33:0:E, 50:06:0:N, 1869/12/31, G, 20:00, 0.23666667, 0
132, Kees van Dongen, 4:29:0:E, 51:55:0:N, 1877/1/26, G, 7:00, 0.29888889, 0
133, Alfred Kubin, 14:07:58:E, 50:32:03:N, 1877/4/10, G, 0.9622222, 0
134, Paul Klee, 7:27:0:E, 47:01:0:N, 1879/12/18, G, 4:00, 0.4961111, 0
135, Pablo Picasso, 4:25:0:W, 36:43:0:N, 1881/10/25, G, 23:15, 0.2944444, 0
136, Jan Sluyters, 5:19:0:E, 51:42:0:N, 1881/12/17, G, 1:00, 0.35444444, 0
137, Max Pechstein, 12:29:0:E, 5):44:0:N, 1881/12/31, G, 16:00, 0.83222222, 0
138, Maurice Utrillo, 2:20:0:E, 48:52:0:N, 1883/12/26, G, 13:00, 0.1555556, 0
139, Amedeo Modigliani, 10:19:0:E, 43:33:0:N, 1884/7/12, G, 9:00, 0.83222222, 0
140, Charley Toorop, 4:24:0:E, 52:13:0:N, 1891/3/24, G, 7:30,0.29333333, 0
141, Paul Delvaux, 5:14:0:E, 50:33:0:N, 1897/9/23, G, 22:00, 0.0, 0
142, Albert Carel Willink, 4:54:0:E, 52:22:0:N, 1900/3/7, G, 6:00, 0.32555556, 0
143, Salvador Dali, 2:58:0:E, 42:16:0:N, 1904/5/11, G, 8:45, 0.0, 0
144, Hergé (George Remi), 4:20:0:E, 50:50:0:N, 1907/5/22, G, 7:30, 0.0, 0
145, Karel Appel, 4:54:0:E, 52:22:0:N, 1921/4/25, G, 16:00, 0.32555556, 1
146, Diana Vandenberg, 4:18:0:E, 52:06:00:N, 1923/4/1, G, 9:35, 0,32555556, 0
147, Yrrah (Harry Lammertink), 5:58:0:E, 52:13:0:N, 1932/11/7, G, 7:00, 0,32555556, 0
148, Peter Struycken, 4:18:0:E, 52:06:00:N, 1939/1/5, G, 17:40, 0.333333, 0


